name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-f19ef57-runtime;z3-noodler-f19ef57-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-c7c4418-runtime;z3-noodler-c7c4418-result;z3-noodler-b688a34-runtime;z3-noodler-b688a34-result;z3-noodler-97447b0-runtime;z3-noodler-97447b0-result
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-multiply-fuzz-multiply.smt2;0.01; unsat;0.04; unsat;TO;TO;0.04; unsat;0.04; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-049-multiply-fuzz.smt2;0.11; sat;0.06; sat;0.04; sat;0.03; sat;0.05; sat;0.04; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-graft-multiply.smt2;0.01; unsat;0.03; unsat;TO;TO;0.05; unsat;0.04; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-005-unsat-reverse-translate-rotate.smt2;0.01; unsat;0.03; unsat;0.04; unsat;0.03; unsat;0.03; unsat;0.03; unsat;0.04; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-025-reverse-reverse-translate.smt2;0.12; sat;0.02; sat;0.05; sat;0.04; sat;0.05; sat;0.04; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-024-rotate-fuzz-translate.smt2;0.01; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.03; sat;0.01; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-046-unsat-multiply-multiply-translate.smt2;0.01; unsat;0.03; unsat;TO;TO;ERR;ERR;ERR;ERR;0.03; unsat;0.03; sat;0.05; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-024-graft-graft-graft.smt2;0.01; sat;0.03; sat;0.03; sat;0.03; sat;0.05; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-reverse-graft-graft.smt2;0.02; sat;0.04; sat;0.05; sat;0.05; sat;0.03; sat;0.03; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-multiply-translate-multiply.smt2;0.13; sat;0.05; sat;0.04; sat;0.04; sat;0.04; sat;0.04; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-reverse-reverse-translate.smt2;0.01; sat;0.03; sat;0.04; sat;0.04; sat;0.04; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-001-rotate-translate-fuzz.smt2;0.01; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.01; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-019-unsat-graft-fuzz-fuzz.smt2;0.0; unsat;0.02; unsat;0.02; unknown;0.03; unknown;0.03; unknown;0.03; unknown;0.02; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-fuzz-translate.smt2;0.04; sat;0.07; sat;0.04; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.01; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-multiply-translate-rotate.smt2;0.01; unsat;0.03; unsat;TO;TO;0.02; unsat;0.03; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-042-rotate-rotate-fuzz.smt2;0.01; unsat;0.03; unsat;0.02; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.01; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-translate-fuzz-reverse.smt2;0.02; unsat;0.04; unsat;0.01; unknown;0.01; unknown;0.01; unknown;0.02; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-008-graft-translate-multiply.smt2;0.0; sat;0.02; sat;0.02; sat;0.03; sat;0.03; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-013-reverse-multiply-translate.smt2;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-005-unsat-graft-fuzz-fuzz.smt2;0.0; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.05; unsat;0.01; unsat;0.01; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-010-reverse-translate-graft.smt2;0.01; unsat;0.01; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-reverse-rotate-rotate.smt2;0.06; sat;0.03; sat;0.03; sat;0.02; sat;0.02; sat;0.03; sat;0.01; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-005-unsat-reverse-rotate-translate.smt2;0.0; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-022-unsat-translate-multiply-fuzz.smt2;0.05; sat;0.03; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-045-unsat-rotate-multiply-fuzz.smt2;0.01; sat;0.01; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-fuzz-fuzz-reverse.smt2;0.01; sat;0.02; sat;0.02; unknown;0.03; unknown;0.03; unknown;0.02; unknown;0.03; unknown;0.01; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-035-translate-graft-graft.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-006-rotate-fuzz-fuzz.smt2;0.01; sat;0.02; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.01; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-009-graft-reverse-translate.smt2;0.0; unsat;0.01; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-fuzz-graft-fuzz.smt2;0.01; sat;0.01; sat;0.04; sat;0.02; sat;0.03; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-015-graft-multiply-rotate.smt2;0.0; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.02; unsat;0.01; unsat;0.02; unsat
